,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
273,273,0.063,,1413,Single Hop Ale,American Pale Ale (APA),407,12.0
274,274,0.054,,1411,Sawtooth Ale,American Blonde Ale,407,12.0
275,275,0.072,75.0,2620,Saucy Intruder,Rye Beer,18,16.0
276,276,0.045,16.0,2412,Deception,American Blonde Ale,112,12.0
277,277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0
278,278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0
279,279,0.0579999999999999,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0
280,280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0
281,281,0.071,45.0,1849,American Red Porter,American Porter,294,12.0
282,282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0
283,283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0
284,284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0
285,285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0
286,286,0.073,,2449,Flying Sailor,Rye Beer,95,12.0
287,287,0.048,47.0,2634,Nordskye ,American IPA,12,12.0
288,288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0
289,289,0.052,,1953,Honey Lav,American Pale Wheat Ale,12,12.0
290,290,0.068,,1496,Coconut Brown Ale,American Brown Ale,12,12.0
291,291,0.07,51.0,1481,51K IPA,American IPA,12,12.0
292,292,0.055,,1480,Grand Rabbits,Cream Ale,12,12.0
293,293,0.05,,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12.0
294,294,,,1541,Double Play Pilsner,American Pilsner,380,12.0
295,295,0.055,,1321,Brewerhood Brown Ale,American Brown Ale,380,12.0
296,296,0.08,,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,380,12.0
297,297,0.096,,1319,Pernicious Double IPA,American Double / Imperial IPA,380,12.0
298,298,0.052,,1303,6-4-3 Double Play Pilsner,German Pilsener,380,12.0
299,299,,,1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380,12.0
300,300,0.05,,1012,467 Ethan's Stout,American Stout,380,12.0
301,301,0.064,,942,1335 Wicked Snout,Saison / Farmhouse Ale,380,12.0
302,302,0.045,,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380,12.0
303,303,0.0559999999999999,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0
304,304,0.0559999999999999,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0
305,305,0.0559999999999999,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0
306,306,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,12.0
307,307,0.059,,1372,Yellow Collar,Mead,422,12.0
308,308,0.059,,1371,Green Collar,Mead,422,12.0
309,309,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.0
310,310,0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.0
