outlier,correction,imputation,percentage,r2,percent_diff
z,drop,interpolation,50,0.7649,-2.37
z,drop,interpolation,60,0.7682,-1.96
z,drop,interpolation,70,0.7719,-1.48
z,drop,interpolation,80,0.776,-0.96
z,drop,interpolation,90,0.7787,-0.61
z,drop,LOCF,50,0.7633,-2.58
z,drop,LOCF,60,0.7676,-2.03
z,drop,LOCF,70,0.771,-1.59
z,drop,LOCF,80,0.7752,-1.06
z,drop,LOCF,90,0.7781,-0.69
z,LOCF,interpolation,50,0.7645,-2.43
z,LOCF,interpolation,60,0.7685,-1.91
z,LOCF,interpolation,70,0.7718,-1.49
z,LOCF,interpolation,80,0.7755,-1.02
z,LOCF,interpolation,90,0.7778,-0.73
z,LOCF,LOCF,50,0.7635,-2.55
z,LOCF,LOCF,60,0.7672,-2.08
z,LOCF,LOCF,70,0.7703,-1.68
z,LOCF,LOCF,80,0.7751,-1.07
z,LOCF,LOCF,90,0.7781,-0.68
none,none,none,50,0.7591,-3.11
none,none,none,60,0.7641,-2.48
none,none,none,70,0.7674,-2.05
none,none,none,80,0.7723,-1.43
none,none,none,90,0.7758,-0.98
none,none,none,100,0.7835,-0.0
lof,drop,interpolation,50,0.7745,-1.15
lof,drop,interpolation,60,0.7753,-1.05
lof,drop,interpolation,70,0.78,-0.44
lof,drop,interpolation,80,0.782,-0.19
lof,drop,interpolation,90,0.7825,-0.12
lof,drop,LOCF,50,0.7729,-1.35
lof,drop,LOCF,60,0.7747,-1.12
lof,drop,LOCF,70,0.7786,-0.62
lof,drop,LOCF,80,0.781,-0.31
lof,drop,LOCF,90,0.7829,-0.08
lof,LOCF,interpolation,50,0.7491,-4.38
lof,LOCF,interpolation,60,0.7529,-3.9
lof,LOCF,interpolation,70,0.7593,-3.09
lof,LOCF,interpolation,80,0.7663,-2.2
lof,LOCF,interpolation,90,0.7734,-1.28
lof,LOCF,LOCF,50,0.747,-4.66
lof,LOCF,LOCF,60,0.7525,-3.95
lof,LOCF,LOCF,70,0.759,-3.13
lof,LOCF,LOCF,80,0.7656,-2.28
lof,LOCF,LOCF,90,0.773,-1.34
hst,drop,interpolation,50,0.7643,-2.44
hst,drop,interpolation,60,0.769,-1.86
hst,drop,interpolation,70,0.7707,-1.63
hst,drop,interpolation,80,0.7738,-1.24
hst,drop,interpolation,90,0.7765,-0.9
hst,drop,LOCF,50,0.7639,-2.5
hst,drop,LOCF,60,0.7676,-2.03
hst,drop,LOCF,70,0.7701,-1.72
hst,drop,LOCF,80,0.7746,-1.13
hst,drop,LOCF,90,0.7764,-0.9
hst,LOCF,interpolation,50,0.7617,-2.79
hst,LOCF,interpolation,60,0.7673,-2.07
hst,LOCF,interpolation,70,0.7713,-1.55
hst,LOCF,interpolation,80,0.7744,-1.16
hst,LOCF,interpolation,90,0.7758,-0.98
hst,LOCF,LOCF,50,0.7611,-2.86
hst,LOCF,LOCF,60,0.7654,-2.31
hst,LOCF,LOCF,70,0.7699,-1.73
hst,LOCF,LOCF,80,0.7735,-1.27
hst,LOCF,LOCF,90,0.7754,-1.03
