,outlier,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,3.41,3.02,2.41,1.53,0.66
1,none,interpolation,1.73,1.23,1.07,0.62,-0.12
2,none,drop,0.07,-0.59,-0.88,-0.37,-0.93
3,none,mean,0.19,0.15,0.0,0.01,-0.4
