,outlier,imputation,50,60,70,80,90,100
2,none,none,-6.14,-4.77,-4.07,-2.98,-1.25,0.0
1,lof,none,-7.86,-6.43,-5.29,-3.69,-1.7,
0,iforest,none,-8.24,-7.23,-5.73,-3.93,-1.98,
3,z,none,-12.68,-10.76,-8.11,-5.46,-2.96,
