,outlier,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,2.58,1.67,1.64,1.18,0.08
1,iforest,drop,6.22,4.99,5.63,6.4,5.98
2,lof,drop,4.26,2.78,1.56,1.38,0.71
3,z,drop,-0.17,-1.03,-1.26,-1.31,-1.2
4,z,mean,9.26,7.82,5.61,3.72,1.81
5,z,interpolation,11.34,9.5,7.04,4.93,2.21
6,lof,interpolation,2.12,1.63,1.4,1.16,0.42
7,lof,mean,-0.13,-0.39,-1.22,-1.75,-1.53
8,iforest,interpolation,1.21,0.26,-0.84,-2.57,-4.98
9,iforest,mean,-3.9,-4.78,-6.32,-8.41,-10.47
