percentage,method,precision,recall,f1
10,z,0.0982350209010682,1.0,0.1788961725523366
10,lof,0.7538461538461538,0.9267139479905436,0.831389183457052
10,iforest,0.1395045632333768,0.2529550827423167,0.1798319327731092
10,hst,0.0919248349415947,0.4278959810874704,0.1513377926421404
10,z,0.1005573618207152,1.0,0.1827389744671871
10,lof,0.7609108159392789,0.9260969976905312,0.8354166666666666
10,iforest,0.1456436931079323,0.2586605080831409,0.1863560732113144
10,hst,0.1012360211889346,0.3972286374133949,0.1613508442776735
10,z,0.0949837436135624,1.0,0.1734888653234358
10,lof,0.7475728155339806,0.941320293398533,0.8333333333333334
10,iforest,0.1210191082802547,0.2322738386308068,0.1591289782244556
10,hst,0.09222333000997,0.452322738386308,0.1532091097308488
10,z,0.1045053413841151,1.0,0.1892346509671993
10,lof,0.7632058287795993,0.9311111111111112,0.8388388388388389
10,iforest,0.1448717948717948,0.2511111111111111,0.183739837398374
10,hst,0.1154891304347826,0.3777777777777777,0.1768990634755463
10,z,0.0989317231769623,1.0,0.1800507185122569
10,lof,0.7636022514071295,0.955399061032864,0.848800834202294
10,iforest,0.150375939849624,0.2816901408450704,0.196078431372549
10,hst,0.0977164099840679,0.431924882629108,0.1593763533997401
10,z,0.0966093822573153,1.0,0.1761965268953833
10,lof,0.7504761904761905,0.9471153846153846,0.8374070138150903
10,iforest,0.1345407503234152,0.25,0.1749369217830109
10,hst,0.1031286210892236,0.4278846153846153,0.1661998132586367
10,z,0.0977705527171388,0.9976303317535544,0.1780879864636209
10,lof,0.7590132827324478,0.9478672985781992,0.8429926238145415
10,iforest,0.1391076115485564,0.2511848341232227,0.179054054054054
10,hst,0.1138938580799046,0.45260663507109,0.1819914244878513
10,z,0.101486298188574,1.0,0.1842715580855998
10,lof,0.7545787545787546,0.94279176201373,0.8382502543234994
10,iforest,0.1367403314917127,0.2265446224256292,0.1705426356589147
10,hst,0.09880068532267276,0.39588100686498856,0.1581352833638026
20,z,0.2066883418485833,0.9988776655443322,0.3425052915143352
20,lof,0.8793284365162645,0.9405162738496072,0.9088937093275488
20,iforest,0.2732166890982503,0.2278338945005611,0.248470012239902
20,hst,0.2098298676748582,0.2491582491582491,0.2278091328886608
20,z,0.195308871342313,1.0,0.3267923061977851
20,lof,0.8747228381374723,0.9381688466111772,0.9053356282271944
20,iforest,0.2566371681415929,0.2413793103448276,0.2487745098039216
20,hst,0.2023809523809523,0.3234244946492271,0.2489702517162471
20,z,0.2004180213655364,0.9988425925925926,0.3338491295938104
20,lof,0.8589743589743589,0.9305555555555556,0.8933333333333334
20,iforest,0.286479250334672,0.2476851851851851,0.265673494723774
20,hst,0.2127450980392156,0.2511574074074074,0.2303609341825902
20,z,0.2124941941477008,1.0,0.3505075656004596
20,lof,0.868020304568528,0.9344262295081968,0.9
20,iforest,0.2982233502538071,0.2568306010928962,0.2759835584263065
20,hst,0.2183908045977011,0.3114754098360656,0.2567567567567568
20,z,0.1962378077101718,0.9988179669030732,0.328027950310559
20,lof,0.8689057421451788,0.9479905437352246,0.9067269643866592
20,iforest,0.2887767969735182,0.2706855791962175,0.2794386821232459
20,hst,0.1810490693739424,0.2529550827423167,0.2110453648915187
20,z,0.2090106827682303,1.0,0.3457548981943911
20,lof,0.8661174047373842,0.9344444444444444,0.8989845002672369
20,iforest,0.2770618556701031,0.2388888888888889,0.256563245823389
20,hst,0.2192393736017897,0.2177777777777777,0.2185061315496098
20,z,0.2029725963771481,0.9988571428571428,0.3373866049025285
20,lof,0.8719576719576719,0.9417142857142856,0.9054945054945056
20,iforest,0.3126684636118598,0.2651428571428571,0.2869511440940012
20,hst,0.2036450079239302,0.2937142857142857,0.2405240992044923
20,z,0.202275894101254,1.0,0.3364883136951903
20,lof,0.8853161843515541,0.9483352468427096,0.9157427937915744
20,iforest,0.2897435897435897,0.2594718714121699,0.2737734706238643
20,hst,0.1920326864147089,0.2158438576349024,0.20324324324324328
30,z,0.2965629354389224,1.0,0.4574601468744402
30,lof,0.9188361408882084,0.9397024275646044,0.9291521486643438
30,iforest,0.3730964467005076,0.2302270947533281,0.2847457627118644
30,hst,0.2955169258920402,0.2529365700861394,0.2725738396624472
30,z,0.3021365536460752,1.0,0.4640627786695202
