,outlier,imputation,50,60,70,80,90,100
3,none,none,-3.78,-3.08,-2.4,-1.75,-0.96,-0.0
4,z,none,-3.46,-3.02,-2.52,-1.75,-0.99,
0,hst,none,-4.88,-4.47,-3.34,-2.55,-1.53,
2,lof,none,-6.31,-4.63,-3.62,-3.02,-1.71,
1,iforest,none,-11.71,-11.82,-10.97,-5.7,-3.06,
