,method,50,60,70,80,90
0,hst,0.8034,0.783,0.7483,0.6992,0.6254
1,iforest,0.4239,0.4991,0.5958,0.7572,0.8219
2,lof,0.667,0.6657,0.6434,0.6363,0.7299
3,z,0.0001,0.0,0.0001,0.0,0.0001
