percentage,method,precision,recall,f1
10,lof,0.6858108108108109,0.7760786455488804,0.728157827312324
10,iforest,0.7456492637215528,0.912616056799563,0.8207269155206286
10,hst,0.7586972612879349,0.559803386127799,0.6442489000628536
10,lof,0.6877739892839747,0.7554842161583735,0.7200407955124936
10,iforest,0.7605508662816526,0.9159978598180846,0.8310679611650486
10,hst,0.7394522575869726,0.5345104333868379,0.6204968944099378
10,lof,0.6764561918746941,0.7737961926091825,0.7218594933402978
10,iforest,0.7265181301878549,0.931131019036954,0.8161963190184048
10,hst,0.7486252945797329,0.5335946248600224,0.6230794377247466
10,lof,0.6883656509695291,0.7939297124600639,0.7373887240356083
10,iforest,0.7537511032656664,0.9094781682641108,0.8243243243243243
10,hst,0.7635431918008785,0.5553780617678381,0.6430332922318125
10,lof,0.6782945736434108,0.7977207977207977,0.7331762241424457
10,iforest,0.72954850245865,0.92991452991453,0.8176352705410822
10,hst,0.6467065868263473,0.5538461538461539,0.5966850828729282
10,lof,0.6859099804305284,0.7793218454697054,0.7296383034087953
10,iforest,0.7312201476335215,0.9360755975541968,0.8210628961482204
10,hst,0.7732198142414861,0.5553085047248472,0.646392753154319
10,lof,0.6891314665401044,0.7878459034183397,0.7351898734177216
10,iforest,0.7454068241469817,0.9245794899620184,0.8253814482925649
10,hst,0.7072829131652661,0.5480195333695063,0.6175481504127178
10,lof,0.6935405536668285,0.7782016348773841,0.7334360554699538
10,iforest,0.73861646234676,0.9193460490463216,0.8191308570041272
10,hst,0.7050461975835111,0.5405994550408719,0.6119679210363973
20,lof,0.7693776250477281,0.5413756045137023,0.6355464437785838
20,iforest,0.9900562040639862,0.615260612573885,0.7589063794531897
20,hst,0.888748419721871,0.5666308436324556,0.6920426579163249
20,lof,0.7691693290734825,0.533370257546386,0.629926410466067
20,iforest,0.9995483288166216,0.6128496261423428,0.7598283261802574
20,hst,0.8862456747404844,0.5674328440875104,0.6918791153131859
20,lof,0.7653268371904182,0.5278633436012321,0.6247928405701028
20,iforest,0.9990880072959416,0.6135536264351722,0.7602359472588479
20,hst,0.8911273039005573,0.582189862783534,0.7042682926829269
20,lof,0.7637951568082573,0.5337031900138697,0.6283474853037231
20,iforest,1.0,0.6124826629680998,0.7596765869602614
20,hst,0.8922056384742952,0.5969486823855756,0.7153066312115673
20,lof,0.7813953488372093,0.5423728813559322,0.6403049070986184
20,iforest,1.0,0.5972558514931396,0.7478524507326932
20,hst,0.8987921699291962,0.580575733118106,0.7054593004249754
20,lof,0.7755178907721281,0.5512717536813923,0.6444444444444445
20,iforest,0.9995541685242978,0.6002677376171353,0.7500836400133825
20,hst,0.8811013767209012,0.5654618473895582,0.6888454011741683
20,lof,0.7775598273832875,0.5551820728291317,0.6478182709593071
20,iforest,0.998644374152734,0.6190476190476191,0.7643091820854228
20,hst,0.8851612903225806,0.5764705882352941,0.6982188295165394
20,lof,0.7822834645669291,0.5406802721088435,0.6394207562349155
20,iforest,1.0,0.6084353741496599,0.7565555743529014
20,hst,0.8922358930844294,0.5722448979591837,0.6972811671087533
30,lof,0.8460641399416909,0.5199784984769754,0.6441016535345688
30,iforest,1.0,0.4153377530908439,0.5869097354095455
30,hst,0.9540293547493768,0.6172728901630532,0.7495648389904264
30,lof,0.8422492401215805,0.5089072543617998,0.6344590726960504
30,iforest,1.0,0.4299357208448117,0.6013357307988697
30,hst,0.9239956568946796,0.6251606978879706,0.7457552853543651
30,lof,0.8436569386539607,0.5202938475665748,0.6436442122003863
30,iforest,1.0,0.4236914600550964,0.5952012383900928
30,hst,0.956940509915014,0.6203856749311295,0.752757660167131
30,lof,0.8521400778210116,0.5182960131075914,0.6445551279148743
30,iforest,1.0,0.421263426178773,0.592801332137825
30,hst,0.9398663697104676,0.6146004005097396,0.7432030820033022
30,lof,0.8459499263622975,0.5238963881794966,0.6470654500394277
30,iforest,1.0,0.4281284202845676,0.5995657172052624
30,hst,0.9424400991462408,0.6242247354979934,0.7510150334686712
30,lof,0.8461095100864553,0.5334302325581395,0.6543347448183641
30,iforest,1.0,0.4198764534883721,0.5914267434420986
30,hst,0.9409827065605272,0.6228197674418605,0.7495353667869248
30,lof,0.8536585365853658,0.5276705276705277,0.6521986137938871
30,iforest,1.0,0.4263651406508549,0.5978344934261407
30,hst,0.927038626609442,0.6354109211252068,0.7540089451292681
30,lof,0.8373382624768947,0.5012910365178901,0.6271342870327642
30,iforest,1.0,0.4300995942456658,0.6014960020634511
30,hst,0.9293069858057332,0.615824419033567,0.7407653910149751
40,lof,0.8933518005540166,0.5346780878695773,0.6689714779602421
40,iforest,1.0,0.3259187620889748,0.4916119620714807
40,hst,0.9238185255198488,0.6751865156120476,0.7801724137931035
40,lof,0.8882268827454719,0.519153085387937,0.6552967032967033
40,iforest,1.0,0.3397409109903886,0.5071740486587648
40,hst,0.9314910765687968,0.6761387379857919,0.7835351089588377
40,lof,0.8956481048198409,0.5206038351693186,0.6584673604541154
40,iforest,1.0,0.3231334149326805,0.4884366327474561
40,hst,0.9380530973451328,0.677546579627363,0.7867972204674667
40,lof,0.8944378698224852,0.5225387168141593,0.659684035960548
40,iforest,1.0,0.3326880530973451,0.4992737082382237
40,hst,0.9297941911906136,0.6684181415929203,0.7777330866382431
40,lof,0.8961218836565097,0.539391413088787,0.673432214415821
40,iforest,1.0,0.330554397665694,0.4968671679197995
40,hst,0.9319953234606392,0.6645824649159372,0.7758942331089302
40,lof,0.8863319386331938,0.5326162871909484,0.6653869644882644
40,iforest,1.0,0.3373376169856125,0.504491330687278
40,hst,0.93057979445414,0.6703450202542255,0.7793114647612862
40,lof,0.8905739617358843,0.5393528331213792,0.6718296224588577
40,iforest,1.0,0.3388441429984457,0.5061741424802111
40,hst,0.9642276422764228,0.6703405397767416,0.7908643827623573
40,lof,0.8958954368264159,0.5378579295154186,0.6721720430107527
40,iforest,1.0,0.3323237885462555,0.4988634015292415
40,hst,0.9414680648236416,0.6797907488986784,0.7895115516827884
50,lof,0.921659879775063,0.5263565891472868,0.6700500458165926
50,iforest,1.0,0.2695459579180509,0.4246336357292393
50,hst,0.9035824237335572,0.7150609080841639,0.7983432245301681
50,lof,0.924077261426659,0.5294762217839141,0.6732149076976662
50,iforest,1.0,0.2676966907736138,0.4223355519059556
50,hst,0.9089787525702536,0.7266053035283805,0.8076243834114853
50,lof,0.9221238938053096,0.5126270908494588,0.65893760539629
50,iforest,1.0,0.2699245654312889,0.4251033057851239
50,hst,0.9090025006946374,0.7153164972122007,0.8006118078923218
50,lof,0.9226723802103622,0.5194078947368421,0.6646555352883401
50,iforest,1.0,0.2621710526315789,0.4154287203544436
50,hst,0.9080887419043682,0.7225877192982456,0.804787201563168
50,lof,0.9210122699386504,0.5239965095986039,0.6679644048943271
50,iforest,1.0,0.2705061082024433,0.4258241758241758
50,hst,0.9063136456211812,0.7280759162303665,0.807475957176556
50,lof,0.9176493710691824,0.5202228412256268,0.6640119462419114
50,iforest,1.0,0.2765459610027855,0.4332722353146548
50,hst,0.9144392589449866,0.7204456824512535,0.8059329427894802
50,lof,0.9170390518748786,0.5221238938053098,0.6653978994854445
50,iforest,1.0,0.2685840707964602,0.4234391349843041
50,hst,0.8979591836734694,0.7252212389380531,0.8023988739979193
50,lof,0.9179261526688348,0.5301071704784002,0.6720829247793808
50,iforest,1.0,0.2666003756490995,0.4209699930216329
50,hst,0.9042449547668754,0.7178212352226273,0.8003202759300321
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,1.0,0.0001791793585378,0.0003582945180938
40,z,0.0,0.0,0.0
50,z,0.0,0.0,0.0
10,z,1.0,0.0005350454788657,0.0010695187165775
20,z,0.0,0.0,0.0
30,z,0.0,0.0,0.0
40,z,0.0,0.0,0.0
50,z,0.0,0.0,0.0
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,0.0,0.0,0.0
40,z,0.0,0.0,0.0
50,z,0.0,0.0,0.0
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,1.0,0.0001820498816675,0.0003640334910811
40,z,0.0,0.0,0.0
50,z,1.0,0.000109649122807,0.00021927420239
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,0.0,0.0,0.0
40,z,0.0,0.0,0.0
50,z,0.0,0.0,0.0
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,0.0,0.0,0.0
40,z,0.0,0.0,0.0
50,z,1.0,0.0001114206128133,0.0002228163992869
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,0.0,0.0,0.0
40,z,0.0,0.0,0.0
50,z,0.0,0.0,0.0
10,z,0.0,0.0,0.0
20,z,0.0,0.0,0.0
30,z,1.0,0.00018443378827,0.0003687995574405
40,z,1.0,0.0001376651982378,0.0002752924982794
50,z,0.0,0.0,0.0
