name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,dt,impute_random,0.9534689819397466,impute_mode,0.951589524842898,impute_mean,0.9515757222203998
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4942,lr,impute_linear_regression,0.9481081912275617,impute_random,0.9470544586690761,no_impute,0.9461816496030303
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4017,lr,impute_mode,0.94710031067519,impute_median,0.94710031067519,no_impute,0.946187852762732
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2892,lr,impute_linear_regression,0.9489984024367694,no_impute,0.9479708864394856,impute_mean,0.9470169021521679
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.21,lr,impute_linear_regression,0.9480679871730208,no_impute,0.9461152921264636,impute_mean,0.9461152921264636
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,lr,impute_knn,0.9471375719092722,impute_linear_regression,0.9471375719092722,impute_standard,0.947093672560536
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4942,knn,no_impute,0.9572916988823525,impute_std,0.9554608529842109,impute_knn,0.9545119697461294
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4017,knn,impute_mode,0.9572643258542995,impute_median,0.9572643258542995,no_impute,0.9563436948096447
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2892,knn,impute_mode,0.9693722740432047,impute_median,0.9693722740432047,no_impute,0.9656799749100415
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.21,knn,impute_mode,0.9619822786358335,impute_median,0.9619822786358335,impute_knn,0.9619169408632338
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,knn,impute_mode,0.961904871813842,impute_median,0.961904871813842,impute_mean,0.9591496525020757
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4942,nb,impute_random,0.9453038597046701,impute_standard,0.9443883558306185,impute_std,0.9443883558306185
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.4017,nb,impute_std,0.9462590440570806,impute_random,0.9462590440570806,impute_linear_regression,0.946225393228666
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.2892,nb,impute_random,0.9462806907277843,impute_standard,0.9462264050599722,impute_std,0.9462264050599722
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.21,nb,impute_knn,0.9480798771121355,impute_linear_regression,0.9480798771121355,no_impute,0.9453228032681049
iris,sepal_width,150,5,1.0,0.0,0.02,6128,0.1533,0.0462,2.7807,0.8,0.9628,-0.4205,numerical,3.054,0.4336,0.0917,nb,impute_knn,0.9471608524974586,impute_linear_regression,0.9471444178433428,no_impute,0.9453228032681049
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4942,dt,impute_random,0.9186648094348243,impute_knn,0.9177766147887035,impute_linear_regression,0.9177470510803708
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4017,dt,impute_knn,0.9388720161966149,impute_mean,0.9233767440181432,impute_mode,0.9224968099035837
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2892,dt,impute_knn,0.9405843620623731,impute_linear_regression,0.9370582164125969,impute_median,0.9361523826305369
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.21,dt,impute_linear_regression,0.9461972625667858,impute_knn,0.9360913676036885,impute_median,0.9334097585534751
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.0917,dt,impute_knn,0.9433686399788697,impute_random,0.937998042037641,impute_linear_regression,0.9352423029627452
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4942,lr,impute_linear_regression,0.9490129415463685,impute_knn,0.9443307441772456,impute_median,0.9425969260518114
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4017,lr,impute_knn,0.9415255286787934,impute_linear_regression,0.9351441424505161,impute_median,0.933273223912931
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2892,lr,impute_knn,0.9452061788184588,impute_linear_regression,0.937930947599796,impute_median,0.9360652931254458
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.21,lr,impute_knn,0.9461730951102933,impute_linear_regression,0.9443885866988563,impute_median,0.9416452701282061
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.0917,lr,impute_knn,0.9507958234286737,impute_linear_regression,0.9470823614192792,impute_median,0.9442652692334571
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4942,knn,impute_linear_regression,0.9442553161245697,impute_knn,0.943405980774196,impute_median,0.9422815431590346
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4017,knn,impute_knn,0.9545290081462806,impute_median,0.9477708868328379,impute_linear_regression,0.9461534844451792
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2892,knn,impute_knn,0.9507716431664538,impute_linear_regression,0.9491002986897509,no_impute,0.9470176355668959
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.21,knn,impute_knn,0.9563116865463853,impute_linear_regression,0.9544721513177022,impute_median,0.9514596143250229
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.0917,knn,no_impute,0.9572631937480561,impute_mean,0.9572631937480561,impute_median,0.956314937504101
