name, column_name,ML_ALGORITHM,BEST_METHOD1,BEST_METHOD2,BEST_METHOD3
bank,balance,dt,impute_mean,impute_median,impute_mode
bank,balance,lr,impute_random,impute_std,impute_standard
bank,balance,knn,no_impute,impute_random,impute_std
bank,balance,nb,impute_std,no_impute,impute_mean
bank,day,dt,impute_linear_regression,impute_random,impute_knn
bank,day,lr,impute_mode,impute_standard,impute_random
bank,day,knn,impute_knn,impute_mode,impute_random
bank,day,nb,impute_std,impute_mode,impute_median
german,Credit_amount,dt,impute_linear_regression,impute_random,impute_knn
german,Credit_amount,lr,impute_standard,impute_std,impute_mode
german,Credit_amount,knn,impute_mode,impute_median,impute_std
german,Credit_amount,nb,impute_knn,impute_linear_regression,impute_random
german,Age,dt,impute_knn,impute_linear_regression,impute_mode
german,Age,lr,impute_std,impute_standard,impute_random
german,Age,knn,impute_mode,impute_median,impute_knn
german,Age,nb,impute_standard,impute_knn,impute_linear_regression
german,Duration,dt,impute_mode,impute_linear_regression,impute_mean
german,Duration,lr,impute_linear_regression,impute_std,impute_knn
german,Duration,knn,impute_knn,impute_std,impute_linear_regression
german,Duration,nb,impute_knn,impute_linear_regression,impute_median
german,Purpose,dt,impute_knn,impute_standard,impute_mode
german,Purpose,lr,impute_mode,impute_standard,impute_random
german,Purpose,knn,impute_standard,no_impute,impute_mode
german,Purpose,nb,no_impute,impute_mode,impute_logistic_regression
adult,age,dt,impute_mean,impute_mode,impute_median
adult,age,lr,impute_median,no_impute,impute_mean
adult,age,knn,impute_median,impute_linear_regression,no_impute
adult,age,nb,no_impute,impute_linear_regression,impute_mean
adult,fnlwgt,dt,impute_knn,impute_mode,impute_standard
adult,fnlwgt,lr,no_impute,impute_random,impute_knn
adult,fnlwgt,knn,no_impute,impute_random,impute_knn
adult,fnlwgt,nb,no_impute,impute_mean,impute_std
adult,capital-gain,dt,impute_median,impute_standard,impute_mode
adult,capital-gain,lr,impute_linear_regression,impute_mean,no_impute
adult,capital-gain,knn,impute_standard,impute_mode,impute_median
adult,capital-gain,nb,impute_linear_regression,impute_knn,no_impute
adult,relationship,dt,no_impute,impute_standard,impute_mode
adult,relationship,lr,no_impute,impute_knn,impute_random
adult,relationship,knn,impute_standard,no_impute,impute_mode
