name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,ML_ALGORITHM,BEST_METHOD
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,lr,no_impute
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,knn,impute_knn
mushrooms,4021,23,0.0,1.0,0.0,711845,0.0013,0.003,0.0002,6.6123,35.7281,0.0,0.9857,2.0917,-0.0,nan,nan,nan,nb,no_impute
breast-cancer,286,10,0.1,0.9,0.049,23008,0.0157,0.0385,0.007,7.6546,19.6678,0.7966,1.0144,2.0963,0.5485,0.0,0.0,1.0,dt,impute_median
breast-cancer,286,10,0.1,0.9,0.049,23008,0.0157,0.0385,0.007,7.6546,19.6678,0.7966,1.0144,2.0963,0.5485,0.0,0.0,1.0,lr,impute_soft
breast-cancer,286,10,0.1,0.9,0.049,23008,0.0157,0.0385,0.007,7.6546,19.6678,0.7966,1.0144,2.0963,0.5485,0.0,0.0,1.0,knn,impute_linear_and_logistic
breast-cancer,286,10,0.1,0.9,0.049,23008,0.0157,0.0385,0.007,7.6546,19.6678,0.7966,1.0144,2.0963,0.5485,0.0,0.0,1.0,nb,impute_knn
drug,200,6,0.33,0.67,0.0,9728,0.2225,0.99,0.01,1.1813,2.8234,0.0,2.1763,5.2845,0.6923,0.0,0.0,-0.0631,dt,impute_standard
drug,200,6,0.33,0.67,0.0,9728,0.2225,0.99,0.01,1.1813,2.8234,0.0,2.1763,5.2845,0.6923,0.0,0.0,-0.0631,lr,impute_mice
drug,200,6,0.33,0.67,0.0,9728,0.2225,0.99,0.01,1.1813,2.8234,0.0,2.1763,5.2845,0.6923,0.0,0.0,-0.0631,knn,impute_random
drug,200,6,0.33,0.67,0.0,9728,0.2225,0.99,0.01,1.1813,2.8234,0.0,2.1763,5.2845,0.6923,0.0,0.0,-0.0631,nb,impute_knn
ecoli,336,9,0.78,0.22,0.0,24320,0.2338,1.0,0.006,8.1316,37.2768,0.0,3.0626,5.8171,0.0203,0.2857,0.8093,-0.1202,dt,impute_mice
ecoli,336,9,0.78,0.22,0.0,24320,0.2338,1.0,0.006,8.1316,37.2768,0.0,3.0626,5.8171,0.0203,0.2857,0.8093,-0.1202,lr,impute_mice
ecoli,336,9,0.78,0.22,0.0,24320,0.2338,1.0,0.006,8.1316,37.2768,0.0,3.0626,5.8171,0.0203,0.2857,0.8093,-0.1202,knn,impute_linear_and_logistic
ecoli,336,9,0.78,0.22,0.0,24320,0.2338,1.0,0.006,8.1316,37.2768,0.0,3.0626,5.8171,0.0203,0.2857,0.8093,-0.1202,nb,impute_linear_and_logistic
gender,5001,8,0.88,0.12,0.3535,320192,0.0019,0.0084,0.0004,3.6908,27.722,0.0075,1.3148,3.6843,0.3871,0.0,0.5693,-0.0258,dt,impute_soft
gender,5001,8,0.88,0.12,0.3535,320192,0.0019,0.0084,0.0004,3.6908,27.722,0.0075,1.3148,3.6843,0.3871,0.0,0.5693,-0.0258,lr,no_impute
gender,5001,8,0.88,0.12,0.3535,320192,0.0019,0.0084,0.0004,3.6908,27.722,0.0075,1.3148,3.6843,0.3871,0.0,0.5693,-0.0258,knn,no_impute
gender,5001,8,0.88,0.12,0.3535,320192,0.0019,0.0084,0.0004,3.6908,27.722,0.0075,1.3148,3.6843,0.3871,0.0,0.5693,-0.0258,nb,no_impute
stars,240,7,0.71,0.29,0.0,13568,0.5417,0.95,0.025,0.3678,2.2322,0.0,3.7706,5.4091,1.4753,0.0,0.6768,-0.9553,dt,impute_mean
stars,240,7,0.71,0.29,0.0,13568,0.5417,0.95,0.025,0.3678,2.2322,0.0,3.7706,5.4091,1.4753,0.0,0.6768,-0.9553,lr,impute_knn
stars,240,7,0.71,0.29,0.0,13568,0.5417,0.95,0.025,0.3678,2.2322,0.0,3.7706,5.4091,1.4753,0.0,0.6768,-0.9553,knn,impute_knn
stars,240,7,0.71,0.29,0.0,13568,0.5417,0.95,0.025,0.3678,2.2322,0.0,3.7706,5.4091,1.4753,0.0,0.6768,-0.9553,nb,impute_mode
mobile,2000,21,1.0,0.0,0.0,336128,0.1248,0.781,0.001,1.134,19.6125,0.0,3.0263,7.2784,0.5493,0.0952,0.917,-0.0466,dt,impute_mode
mobile,2000,21,1.0,0.0,0.0,336128,0.1248,0.781,0.001,1.134,19.6125,0.0,3.0263,7.2784,0.5493,0.0952,0.917,-0.0466,lr,impute_linear_and_logistic
mobile,2000,21,1.0,0.0,0.0,336128,0.1248,0.781,0.001,1.134,19.6125,0.0,3.0263,7.2784,0.5493,0.0952,0.917,-0.0466,knn,impute_soft
mobile,2000,21,1.0,0.0,0.0,336128,0.1248,0.781,0.001,1.134,19.6125,0.0,3.0263,7.2784,0.5493,0.0952,0.917,-0.0466,nb,impute_linear_and_logistic
