name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,lr,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,lr,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,knn,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,knn,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,knn,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,knn,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,knn,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,nb,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,nb,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,nb,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,nb,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,nb,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,dt,impute_mean
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,dt,no_impute
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,dt,impute_median
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,dt,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,dt,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,lr,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,lr,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,lr,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,lr,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,lr,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,knn,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,knn,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,knn,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,knn,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,knn,impute_linear_and_logistic
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,nb,impute_knn
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,nb,impute_mice
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,nb,impute_mice
