name, column_name, n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,column_uniqueness,column_density,column_entropy,p_correlated_features,max_pearson,min_pearson,column_type,mean,std,%missing,ML_ALGORITHM,BEST_METHOD
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4942,nb,impute_linear_regression
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.4017,nb,impute_linear_regression
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.2892,nb,impute_linear_regression
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.21,nb,impute_median
iris,petal_length,150,5,1.0,0.0,0.02,6128,0.2867,0.0236,3.4892,0.8,0.9628,-0.4205,numerical,3.7587,1.7644,0.0917,nb,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,dt,impute_median
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,dt,impute_mean
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,dt,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,dt,impute_random
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,dt,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,lr,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,lr,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,lr,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,lr,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,lr,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,knn,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,knn,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,knn,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,knn,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,knn,impute_linear_regression
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4942,nb,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.4017,nb,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.2892,nb,impute_knn
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.21,nb,impute_median
iris,petal_width,150,5,1.0,0.0,0.02,6128,0.1467,0.0411,2.8181,0.8,0.9628,-0.4205,numerical,1.1987,0.7632,0.0917,nb,impute_std
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,dt,impute_random
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,dt,impute_random
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,dt,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,dt,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,dt,impute_mean
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,lr,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,lr,impute_linear_regression
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,lr,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,lr,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,lr,impute_standard
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,knn,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,knn,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,knn,impute_linear_regression
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,knn,no_impute
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,knn,impute_linear_regression
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.5035,nb,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3977,nb,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.3007,nb,impute_knn
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.2066,nb,impute_mode
cancer,Uniformity_of_Cell_Size,683,5,1.0,0.0,0.6149,27448,0.0146,0.9819,1.6246,1.0,0.9072,0.6806,numerical,3.1508,3.0651,0.0966,nb,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.5035,dt,impute_median
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3977,dt,impute_random
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3007,dt,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.2066,dt,impute_linear_regression
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.0966,dt,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.5035,lr,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3977,lr,impute_linear_regression
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3007,lr,impute_random
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.2066,lr,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.0966,lr,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.5035,knn,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3977,knn,no_impute
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3007,knn,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.2066,knn,impute_linear_regression
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.0966,knn,impute_knn
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.5035,nb,impute_standard
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3977,nb,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.3007,nb,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.2066,nb,impute_mode
cancer,Uniformity_of_Cell_Shape,683,5,1.0,0.0,0.6149,27448,0.0146,0.9599,1.7253,1.0,0.9072,0.6806,numerical,3.2152,2.9886,0.0966,nb,impute_mode
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.5035,dt,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3977,dt,impute_linear_regression
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3007,dt,no_impute
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.2066,dt,no_impute
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.0966,dt,impute_linear_regression
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.5035,lr,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3977,lr,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3007,lr,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.2066,lr,impute_random
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.0966,lr,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.5035,knn,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3977,knn,impute_std
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3007,knn,impute_std
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.2066,knn,impute_std
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.0966,knn,impute_random
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.5035,nb,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3977,nb,impute_knn
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.3007,nb,impute_random
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.2066,nb,impute_std
cancer,Bare_Nuclei,683,5,1.0,0.0,0.6149,27448,0.0146,1.0173,1.3811,1.0,0.9072,0.6806,numerical,3.5447,3.6439,0.0966,nb,impute_linear_regression
