name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,dt,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,dt,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,lr,impute_mean
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,lr,impute_mean
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,lr,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,lr,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,lr,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,knn,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,knn,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,knn,impute_soft
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,knn,impute_knn
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,knn,impute_mice
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,nb,impute_knn
