name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplicates,total_size,p_avg_distinct,p_max_distinct,p_min_distinct,avg_density,max_density,min_density,avg_entropy,max_entropy,min_entropy,p_correlated_features,max_pearson,min_pearson,%missing,ML_ALGORITHM,BEST_METHOD1,SCORE1,BEST_METHOD2,SCORE2,BEST_METHOD3,SCORE3
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,dt,impute_soft,0.9366500002810634,impute_knn,0.9361893872733892,impute_mice,0.9296273595903538
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,dt,impute_knn,0.9421718961421058,impute_soft,0.940146914573148,impute_mice,0.9385161301536926
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,dt,impute_knn,0.946517869103923,impute_linear_and_logistic,0.9455358017786271,impute_soft,0.9428764342277094
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,lr,impute_mean,0.9458095541243002,no_impute,0.9455600714605507,impute_std,0.944385940480254
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,lr,impute_mean,0.9531917182931617,no_impute,0.9525441614025556,impute_std,0.9506752854404202
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,lr,impute_soft,0.9601879776243876,impute_std,0.959786242081482,impute_mean,0.9589464641742427
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,lr,impute_mice,0.961796050558756,no_impute,0.9609835263266144,impute_mean,0.960790533403493
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,lr,impute_mice,0.968009871093324,no_impute,0.9676189130904891,impute_soft,0.967600247174296
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,knn,impute_mice,0.948231834330449,impute_soft,0.9461798129727444,impute_mean,0.9393611016304988
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,knn,impute_soft,0.9507336739702801,impute_mice,0.9480228265193399,impute_knn,0.9479810422377075
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,knn,impute_soft,0.9605271907928885,impute_mice,0.95994852928438,impute_linear_and_logistic,0.9588630740624728
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,knn,impute_knn,0.9666082821864438,impute_soft,0.9656120748115357,impute_mice,0.9653981153856771
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,knn,impute_mice,0.9682223682146379,impute_knn,0.9670238142057176,no_impute,0.9669791248512598
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.4506,nb,impute_knn,0.9507288124385493,impute_mice,0.9472880226965377,impute_soft,0.9458201343400736
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.3638,nb,impute_knn,0.9546015020578242,impute_soft,0.9539571108603535,impute_linear_and_logistic,0.9506337278668134
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.268,nb,impute_soft,0.9607883208849974,impute_knn,0.9585586483082132,impute_standard,0.9571708535900039
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.1822,nb,impute_knn,0.9601969986630695,impute_linear_and_logistic,0.9597734199358373,impute_mice,0.9593807843870703
cancer,683,10,1.0,0.0,0.3426,54768,0.0133,0.0146,0.0029,1.9827,11.2555,0.7482,1.4739,2.1138,0.6474,0.9,0.9072,0.3392,0.0915,nb,impute_knn,0.964077341609193,impute_soft,0.9632601975750243,impute_mice,0.9630662198082349
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,dt,impute_mean,0.46947029225555803,no_impute,0.46264981947313355,impute_median,0.46236752160716144
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,dt,no_impute,0.4766428964404045,impute_mode,0.4755997364037029,impute_median,0.47501174598083185
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,dt,impute_median,0.503589879656122,impute_mean,0.49828600126994815,no_impute,0.4966780695702664
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,dt,impute_mice,0.534560418926266,impute_knn,0.5200572620751673,impute_linear_and_logistic,0.5161673844170528
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,dt,impute_knn,0.5666177832022629,impute_linear_and_logistic,0.5602152782289573,impute_mice,0.5568983926262414
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,lr,impute_mice,0.5400040454729726,impute_median,0.5375781587843694,impute_mean,0.5363513019567889
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,lr,impute_mice,0.5588333649668833,impute_linear_and_logistic,0.5580074343371729,impute_mean,0.5535493473937273
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,lr,impute_mice,0.5716807510784898,impute_knn,0.5694743340777029,impute_linear_and_logistic,0.568251786985378
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,lr,impute_knn,0.5869776380680257,impute_mice,0.5844911932834103,impute_linear_and_logistic,0.5770314251119131
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,lr,impute_linear_and_logistic,0.5976586885136809,impute_mice,0.5972148613905046,impute_knn,0.5932263387004915
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,knn,impute_knn,0.48399520750570213,impute_mice,0.4821458293509875,no_impute,0.4783774060503928
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,knn,impute_linear_and_logistic,0.5175969556708672,impute_median,0.5124549623888791,no_impute,0.5079436231429595
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,knn,impute_mice,0.5347900392533445,impute_linear_and_logistic,0.5307529607663036,impute_median,0.5249231845717857
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,knn,impute_mice,0.5514029369678739,impute_knn,0.5450171366580836,impute_linear_and_logistic,0.5441116976553158
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,knn,impute_linear_and_logistic,0.5666939947136345,impute_mice,0.5665560606121203,impute_knn,0.5595033494666383
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.4583,nb,impute_knn,0.5007478751785748,impute_mice,0.499886153123654,impute_linear_and_logistic,0.49276283276290034
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.3685,nb,impute_mice,0.517209525696648,impute_knn,0.5109796762678882,impute_linear_and_logistic,0.5038034716732316
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.2752,nb,impute_mice,0.5301030893233821,impute_linear_and_logistic,0.5240217810083747,impute_knn,0.5237337585424076
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.1849,nb,impute_knn,0.5416957489716867,no_impute,0.5410315922499085,impute_mean,0.5410315922499085
wine,1599,12,1.0,0.0,0.1501,153632,0.076,0.2727,0.0038,0.2745,3.1739,0.0004,3.8914,5.5149,1.1846,0.0,0.6717,-0.683,0.0918,nb,impute_linear_and_logistic,0.5515620458689299,impute_mice,0.5514977728221638,no_impute,0.5512688866545017
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,dt,impute_median,0.26967956580949476,impute_mode,0.2692870806259477,no_impute,0.252402012947291
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,dt,impute_knn,0.3282695670234342,impute_mice,0.32746412392832447,impute_mode,0.32644212363319025
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,dt,impute_knn,0.4687852297387095,impute_mice,0.395353147724027,impute_mode,0.39270141524393665
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,dt,impute_knn,0.5703191116685747,impute_mice,0.49814504842844964,impute_linear_and_logistic,0.4773543960642398
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,dt,impute_knn,0.6449595064065832,impute_mice,0.5900294447623454,impute_soft,0.5794254284435127
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.4707,lr,impute_mice,0.36162989590326244,impute_linear_and_logistic,0.34876516629734106,impute_mean,0.33999331849305664
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.3778,lr,impute_knn,0.451828866735204,impute_mice,0.4364391746669981,impute_linear_and_logistic,0.4276982987877551
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.2831,lr,impute_knn,0.570251001043365,impute_linear_and_logistic,0.4987145802898188,impute_mice,0.49025822179117073
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.1883,lr,impute_knn,0.6632226604157762,impute_mice,0.5913884967925034,impute_linear_and_logistic,0.5814614144175925
letter,2001,17,0.94,0.06,0.009,272264,0.0081,0.013,0.007,0.404,0.5453,0.0374,2.2084,3.2482,1.7939,0.3125,0.8516,-0.3953,0.094,lr,impute_knn,0.7083820245697527,impute_mice,0.6736272704038444,impute_linear_and_logistic,0.6650242733254932
