Coupons,Year,Quarter,Origin,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,RoundTrip,OnLine,DollarCred,FarePerMile,RPCarrier,Passengers,ItinFare,BulkFare,Distance,DistanceGroup,MilesFlown,ItinGeoType
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,92,AS,3.0,426.0,0.0,4630.0,10,4630.0,1
1,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0501,AS,1.0,131.0,0.0,2614.0,6,2614.0,1
2,2021,1,EWR,11618,1161802,31703,US,34,NJ,New Jersey,21,1.0,1.0,1,0.0236,UA,1.0,76.0,0.0,3216.0,7,3216.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.1248,DL,1.0,668.0,0.0,5354.0,11,5354.0,1
1,2021,1,PHL,14100,1410005,34100,US,42,PA,Pennsylvania,23,0.0,1.0,1,0.1548,AA,1.0,244.0,0.0,1576.0,4,1576.0,1
2,2021,1,EWR,11618,1161802,31703,US,34,NJ,New Jersey,21,0.0,1.0,1,0.0803,AA,1.0,168.0,0.0,2091.0,5,2091.0,1
4,2021,1,STX,15027,1502704,34992,US,78,VI,U.S. Virgin Islands,4,1.0,1.0,1,105,AA,1.0,432.0,0.0,4116.0,9,4116.0,1
2,2021,1,LAX,12892,1289208,32575,US,6,CA,California,91,0.0,1.0,1,0.0898,AA,1.0,304.0,0.0,3387.0,7,3387.0,1
3,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.0802,AS,1.0,562.0,0.0,7010.0,15,7010.0,1
5,2021,1,LIH,12982,1298202,32982,US,15,HI,Hawaii,2,1.0,0.0,1,0.5986,HA,1.0,349.0,0.0,648.0,2,583.0,1
4,2021,1,LAS,12889,1288903,32211,US,32,NV,Nevada,85,1.0,1.0,1,0.0365,AA,1.0,235.0,0.0,6440.0,13,6440.0,1
2,2021,1,SLC,14869,1486903,34614,US,49,UT,Utah,87,0.0,1.0,1,0.0015,DL,1.0,5.0,0.0,3329.0,7,3329.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,1.0,1.0,1,0.0282,HA,2.0,144.0,0.0,5112.0,11,5112.0,1
2,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,0.6513,QX,1.0,340.0,0.0,522.0,2,522.0,1
6,2021,1,MKE,13342,1334207,33342,US,55,WI,Wisconsin,45,1.0,0.0,1,0.0587,OO,1.0,532.0,0.0,9056.0,19,9056.0,1
1,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,0.0574,B6,6.0,71.0,0.0,1237.0,3,1237.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.0908,HA,14.0,486.0,0.0,5354.0,11,5354.0,1
2,2021,1,ORD,13930,1393007,30977,US,17,IL,Illinois,41,1.0,1.0,1,0.1347,UA,1.0,1127.0,0.0,8368.0,17,8368.0,1
4,2021,1,ANC,10299,1029906,30299,US,2,AK,Alaska,1,1.0,1.0,1,57,AS,1.0,282.0,0.0,4944.0,10,4944.0,1
2,2021,1,SMF,14893,1489302,33192,US,6,CA,California,91,1.0,1.0,1,0.0595,HA,2.0,293.0,0.0,4924.0,10,4924.0,1
2,2021,1,PHX,14107,1410702,30466,US,4,AZ,Arizona,81,1.0,1.0,1,0.1574,AA,1.0,918.0,0.0,5834.0,12,5834.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,0.3536,AS,1.0,1867.0,0.0,5280.0,11,5280.0,1
4,2021,1,DCA,11278,1127805,30852,US,51,VA,Virginia,38,1.0,1.0,1,0.0813,AS,1.0,814.0,0.0,10012.0,21,10012.0,1
2,2021,1,SEA,14747,1474703,30559,US,53,WA,Washington,93,1.0,1.0,1,77,AS,3.0,412.0,0.0,5354.0,11,5354.0,1
4,2021,1,ATL,10397,1039707,30397,US,13,GA,Georgia,34,1.0,1.0,1,0.0234,NK,1.0,76.0,0.0,3254.0,7,3254.0,1
2,2021,1,HNL,12173,1217305,32134,US,15,HI,Hawaii,2,0.0,1.0,1,0.0688,DL,1.0,261.0,0.0,3791.0,8,3791.0,1
4,2021,1,SJC,14831,1483106,32457,US,6,CA,California,91,0.0,1.0,1,0.0491,WN,1.0,286.0,0.0,5823.0,12,5823.0,1
2,2021,1,SFO,14771,1477104,32457,US,6,CA,California,91,1.0,1.0,1,0.2012,UA,1.0,965.0,0.0,4796.0,10,4796.0,1
4,2021,1,ORD,13930,1393007,30977,US,17,IL,Illinois,41,1.0,1.0,1,0.0013,AA,1.0,11.0,0.0,8548.0,18,8548.0,1
2,2021,1,GUM,12016,1201602,32016,US,75,TT,U.S. Pacific Trust Territories and Possessions,5,1.0,1.0,1,0.2368,UA,3.0,1800.0,0.0,7602.0,16,7602.0,1
3,2021,1,FAI,11630,1163002,31517,US,2,AK,Alaska,1,0.0,0.0,1,0.1493,QX,1.0,383.0,0.0,2566.0,6,2566.0,1
1,2021,1,SJU,14843,1484306,34819,US,72,PR,Puerto Rico,3,0.0,1.0,1,83,B6,20.0,139.0,0.0,1674.0,4,1674.0,1
2,2021,1,BZN,10849,1084907,30849,US,30,MT,Montana,84,0.0,0.0,1,0.0891,QX,1.0,287.0,0.0,3220.0,7,3220.0,1
2,2021,1,OTZ,13970,1397005,33970,US,2,AK,Alaska,1,0.0,0.0,1,0.0074,AS,3.0,6.0,0.0,809.0,2,809.0,1
4,2021,1,ATL,10397,1039707,30397,US,13,GA,Georgia,34,1.0,1.0,1,41,AA,2.0,137.0,0.0,3340.0,7,3340.0,1
2,2021,1,DEN,11292,1129202,30325,US,8,CO,Colorado,82,0.0,1.0,1,0.1034,AS,1.0,384.0,0.0,3712.0,8,3712.0,1
2,2021,1,MSP,13487,1348702,31650,US,27,MN,Minnesota,63,1.0,1.0,1,0.0574,SY,12.0,276.0,0.0,4808.0,10,4808.0,1
