percentage,method,r2
10,LOCF,0.968687671725174
10,mean,0.6565196982702663
10,interpolation,0.9838681310966222
20,LOCF,0.968389547853836
20,mean,0.6679662612910827
20,interpolation,0.9854721376482414
30,LOCF,0.9686976449605263
30,mean,0.6502554607740081
30,interpolation,0.984264610540048
40,LOCF,0.9673794910629108
40,mean,0.650486178398102
40,interpolation,0.983700744107014
50,LOCF,0.966011062926104
50,mean,0.6650299848934207
50,interpolation,0.9843833340521512
