,outlier,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,2.36,1.69,1.67,1.23,0.29
1,z,none,9.22,7.74,5.59,3.71,1.97
2,lof,none,1.55,1.8,1.67,0.67,-0.01
3,iforest,none,-3.47,-4.59,-5.24,-1.77,-1.08
