,outlier,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,11.86,10.25,8.96,6.85,4.37
1,none,drop,5.97,5.12,4.4,3.15,1.59
2,none,interpolation,9.86,8.36,6.51,4.41,2.16
3,none,mean,4.3,3.75,2.54,1.88,1.0
