,outlier,correction,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,none,12.1,10.45,8.82,6.68,3.94
1,lof,drop,interpolation,13.4,11.45,9.01,6.57,3.64
2,lof,drop,LOCF,15.39,12.86,9.77,7.19,3.82
3,z,drop,LOCF,10.09,8.02,5.47,3.5,2.15
4,z,drop,interpolation,8.39,6.56,4.59,2.77,1.85
5,z,LOCF,LOCF,40.44,32.43,26.88,18.3,10.07
6,z,LOCF,interpolation,39.49,31.5,26.44,17.73,9.76
7,lof,LOCF,LOCF,19.61,15.76,12.04,8.67,3.77
8,lof,LOCF,interpolation,18.67,14.82,11.36,8.15,3.47
