,outlier,correction,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,none,2.79,2.61,1.94,1.49,0.6
1,lof,drop,LOCF,3.24,2.3,1.97,1.2,0.41
2,lof,drop,interpolation,2.94,2.08,1.78,1.21,0.37
3,z,drop,interpolation,0.65,0.1,0.0,-0.18,-0.47
4,z,LOCF,LOCF,9.17,6.56,5.57,3.6,1.58
5,z,drop,LOCF,1.3,0.32,-0.1,0.07,-0.33
6,z,LOCF,interpolation,8.63,6.58,5.59,3.58,1.39
7,lof,LOCF,interpolation,1.9,1.23,0.67,0.36,-0.16
8,lof,LOCF,LOCF,2.38,1.53,0.84,0.42,0.06
