,outlier,correction,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,none,12.1,10.45,8.82,6.68,3.94
1,lof,drop,LOCF,14.91,13.21,10.19,7.3,4.04
2,lof,drop,interpolation,14.11,11.83,9.22,6.44,3.76
3,z,drop,interpolation,8.32,6.66,4.4,2.69,1.64
4,z,drop,LOCF,9.9,7.87,5.2,3.41,1.95
5,z,LOCF,LOCF,41.34,32.8,27.45,18.4,10.24
6,z,LOCF,interpolation,39.9,31.68,26.77,17.71,9.85
7,lof,LOCF,LOCF,19.79,15.5,11.76,8.54,3.8
8,lof,LOCF,interpolation,18.11,14.65,11.37,8.27,3.43
