,outlier,imputation,v_50,v_60,v_70,v_80,v_90
0,none,none,13.12,10.14,9.16,6.61,4.11
1,lof,drop,13.99,12.81,10.03,7.2,3.95
2,z,drop,5.51,4.18,1.92,0.45,0.75
3,z,interpolation,50.83,43.28,34.87,25.47,14.34
4,lof,interpolation,18.16,18.03,15.54,11.46,6.3
5,iforest,drop,14.44,11.48,6.16,3.65,-0.63
6,z,mean,32.38,26.11,19.7,12.32,6.23
7,lof,mean,-27.2,-27.02,-23.38,-17.32,-10.31
8,iforest,interpolation,2.93,-6.4,-15.85,-28.13,-44.65
9,iforest,mean,-75.91,-78.22,-82.28,-87.12,-92.6
