,outlier,imputation,50,60,70,80,90,100
4,none,none,-14.94,-13.03,-11.0,-8.21,-5.0,-0.0
0,none,drop,-2.5,-1.74,-1.24,-0.59,-0.38,
3,none,mean,-8.11,-7.02,-5.33,-3.8,-1.87,
1,none,interpolation,-10.54,-8.84,-6.84,-4.67,-2.27,
2,none,locf,-13.52,-10.86,-8.6,-5.85,-2.94,
