outlier,correction,imputation,percentage,r2,percent_diff
z,drop,interpolation,50,0.7693,-1.81
z,drop,interpolation,60,0.7759,-0.97
z,drop,interpolation,70,0.78,-0.45
z,drop,interpolation,80,0.7786,-0.62
z,drop,interpolation,90,0.7851,0.2
z,drop,LOCF,50,0.7702,-1.7
z,drop,LOCF,60,0.7766,-0.88
z,drop,LOCF,70,0.7799,-0.46
z,drop,LOCF,80,0.7789,-0.59
z,drop,LOCF,90,0.7851,0.2
z,LOCF,interpolation,50,0.7613,-2.83
z,LOCF,interpolation,60,0.7656,-2.28
z,LOCF,interpolation,70,0.7728,-1.36
z,LOCF,interpolation,80,0.7735,-1.27
z,LOCF,interpolation,90,0.7774,-0.78
z,LOCF,LOCF,50,0.7624,-2.7
z,LOCF,LOCF,60,0.766,-2.23
z,LOCF,LOCF,70,0.7727,-1.38
z,LOCF,LOCF,80,0.7741,-1.2
z,LOCF,LOCF,90,0.7776,-0.75
none,none,none,50,0.7556,-3.56
none,none,none,60,0.7591,-3.11
none,none,none,70,0.7667,-2.14
none,none,none,80,0.7707,-1.63
none,none,none,90,0.7769,-0.84
none,none,none,100,0.7835,0.0
lof,drop,interpolation,50,0.7888,0.68
lof,drop,interpolation,60,0.7925,1.15
lof,drop,interpolation,70,0.7933,1.25
lof,drop,interpolation,80,0.795,1.47
lof,drop,interpolation,90,0.7914,1.01
lof,drop,LOCF,50,0.7945,1.41
lof,drop,LOCF,60,0.7961,1.61
lof,drop,LOCF,70,0.7944,1.39
lof,drop,LOCF,80,0.7955,1.53
lof,drop,LOCF,90,0.7904,0.88
lof,LOCF,interpolation,50,0.749,-4.4
lof,LOCF,interpolation,60,0.7563,-3.47
lof,LOCF,interpolation,70,0.7591,-3.12
lof,LOCF,interpolation,80,0.7661,-2.22
lof,LOCF,interpolation,90,0.7683,-1.94
lof,LOCF,LOCF,50,0.7485,-4.46
lof,LOCF,LOCF,60,0.7564,-3.45
lof,LOCF,LOCF,70,0.7593,-3.09
lof,LOCF,LOCF,80,0.7655,-2.3
lof,LOCF,LOCF,90,0.7688,-1.88
hst,drop,interpolation,50,0.7776,-0.76
hst,drop,interpolation,60,0.779,-0.58
hst,drop,interpolation,70,0.7848,0.17
hst,drop,interpolation,80,0.7822,-0.17
hst,drop,interpolation,90,0.788,0.58
hst,drop,LOCF,50,0.7776,-0.74
hst,drop,LOCF,60,0.7796,-0.5
hst,drop,LOCF,70,0.7852,0.21
hst,drop,LOCF,80,0.7831,-0.06
hst,drop,LOCF,90,0.7878,0.55
hst,LOCF,interpolation,50,0.7617,-2.78
hst,LOCF,interpolation,60,0.7622,-2.72
hst,LOCF,interpolation,70,0.7706,-1.64
hst,LOCF,interpolation,80,0.7691,-1.84
hst,LOCF,interpolation,90,0.7683,-1.94
hst,LOCF,LOCF,50,0.7623,-2.71
hst,LOCF,LOCF,60,0.7628,-2.64
hst,LOCF,LOCF,70,0.7705,-1.66
hst,LOCF,LOCF,80,0.7697,-1.76
hst,LOCF,LOCF,90,0.7687,-1.89
