outlier,imputation,percentage,r2,percent_diff
z,mean,50,0.7178,-8.39
z,mean,60,0.7175,-8.42
z,mean,70,0.7288,-6.98
z,mean,80,0.7357,-6.1
z,mean,90,0.7541,-3.75
z,interpolation,50,0.7428,-5.2
z,interpolation,60,0.7462,-4.76
z,interpolation,70,0.7571,-3.37
z,interpolation,80,0.7614,-2.82
z,interpolation,90,0.772,-1.46
z,drop,50,0.7539,-3.78
z,drop,60,0.7617,-2.78
z,drop,70,0.7653,-2.32
z,drop,80,0.7721,-1.46
z,drop,90,0.7831,-0.05
z,LOCF,50,0.7433,-5.13
z,LOCF,60,0.7467,-4.69
z,LOCF,70,0.7576,-3.31
z,LOCF,80,0.7611,-2.85
z,LOCF,90,0.772,-1.47
none,none,50,0.7473,-4.62
none,none,60,0.7504,-4.22
none,none,70,0.7599,-3.01
none,none,80,0.7653,-2.32
none,none,90,0.7757,-0.99
none,none,100,0.7835,0.0
lof,mean,50,0.3954,-49.54
lof,mean,60,0.4148,-47.06
lof,mean,70,0.4699,-40.03
lof,mean,80,0.5532,-29.4
lof,mean,90,0.6487,-17.2
lof,interpolation,50,0.7118,-9.14
lof,interpolation,60,0.7269,-7.22
lof,interpolation,70,0.7374,-5.88
lof,interpolation,80,0.7459,-4.79
lof,interpolation,90,0.7574,-3.32
lof,drop,50,0.7741,-1.2
lof,drop,60,0.7838,0.04
lof,drop,70,0.7897,0.79
lof,drop,80,0.7942,1.37
lof,drop,90,0.7922,1.11
lof,LOCF,50,0.7212,-7.95
lof,LOCF,60,0.7315,-6.64
lof,LOCF,70,0.746,-4.78
lof,LOCF,80,0.7568,-3.41
lof,LOCF,90,0.7651,-2.35
iforest,mean,50,0.0,-100.0
iforest,mean,60,0.0,-100.0
iforest,mean,70,0.0,-100.0
iforest,mean,80,0.0,-100.0
iforest,mean,90,0.0,-100.0
iforest,interpolation,50,0.5695,-27.31
iforest,interpolation,60,0.5185,-33.82
iforest,interpolation,70,0.4766,-39.16
iforest,interpolation,80,0.4207,-46.3
iforest,interpolation,90,0.3527,-54.99
iforest,drop,50,0.7755,-1.02
iforest,drop,60,0.7688,-1.88
iforest,drop,70,0.7554,-3.58
iforest,drop,80,0.761,-2.88
iforest,drop,90,0.755,-3.63
iforest,LOCF,50,0.6175,-21.19
iforest,LOCF,60,0.561,-28.4
iforest,LOCF,70,0.5219,-33.39
iforest,LOCF,80,0.4739,-39.52
iforest,LOCF,90,0.4073,-48.02
hst,mean,50,0.16,-79.58
hst,mean,60,0.1981,-74.72
hst,mean,70,0.2736,-65.08
hst,mean,80,0.3397,-56.65
hst,mean,90,0.4037,-48.48
hst,interpolation,50,0.382,-51.24
hst,interpolation,60,0.4611,-41.15
hst,interpolation,70,0.5153,-34.23
hst,interpolation,80,0.5511,-29.66
hst,interpolation,90,0.5894,-24.77
hst,drop,50,0.7197,-8.14
hst,drop,60,0.7417,-5.34
hst,drop,70,0.7593,-3.09
hst,drop,80,0.7636,-2.54
hst,drop,90,0.7666,-2.16
hst,LOCF,50,0.4012,-48.8
hst,LOCF,60,0.4745,-39.43
hst,LOCF,70,0.5286,-32.53
hst,LOCF,80,0.581,-25.84
hst,LOCF,90,0.6204,-20.82
